0.073;0.2;0.394;0.656;0.991;1.395;1.871;2.417;3.037;3.728;4.491;5.325;6.232;7.211;8.262;9.38;10.567;11.831
0.089;0.221;0.415;0.668;0.977;1.343;1.76;2.141;2.739;3.296;3.894;4.531;5.207;5.785;6.657;7.498;8.448;9.332
0.085;0.209;0.388;0.622;0.904;1.241;1.628;2.073;2.566;3.099;3.678;4.304;4.97;5.681;6.435;7.23;8.066;9.009
0.083;0.202;0.379;0.614;0.908;1.26;1.672;2.143;2.673;3.262;3.911;4.619;5.387;6.214;7.101;8.048;9.055;10.121
0.075;0.195;0.365;0.591;0.872;1.211;1.605;2.057;2.565;3.13;3.752;4.431;5.167;5.96;6.81;7.717;8.682;9.704
0.083;0.203;0.38;0.616;0.911;1.264;1.677;2.149;2.68;3.271;3.922;4.632;5.401;6.231;7.12;8.069;9.078;10.147
0.07;0.199;0.389;0.642;0.964;1.353;1.812;2.344;2.94;3.61;4.345;5.151;6.026;6.967;7.975;9.051;10.193;11.402
0.07;0.202;0.381;0.629;0.941;1.319;1.763;2.275;2.852;3.497;4.209;4.988;5.567;6.298;7.025;7.889;8.855;9.734
0.078;0.175;0.308;0.475;0.676;0.907;1.169;1.65;1.925;2.54;3.07;3.421;3.9;4.603;5.08;5.525;6.03;6.65
0.076;0.173;0.304;0.475;0.67;0.901;1.158;1.449;1.773;2.113;2.5;2.901;3.328;3.782;4.26;4.764;5.293;5.847
0.08;0.2;0.373;0.603;0.89;1.234;1.636;2.096;2.613;3.189;3.822;4.514;5.263;6.071;6.938;7.863;8.846;9.888
0.07;0.192;0.377;0.629;0.948;1.335;1.788;2.31;2.901;3.559;4.287;5.083;5.947;6.878;7.878;8.944;10.074;11.276
0.084;0.21;0.393;0.632;0.926;1.271;1.666;2.023;2.591;3.119;3.682;4.282;4.915;5.458;6.281;7.077;7.924;8.812
0.082;0.203;0.378;0.603;0.877;1.204;1.572;1.991;2.455;2.962;3.514;4.105;4.741;5.416;6.132;6.841;7.682;8.514
0.08;0.194;0.365;0.593;0.878;1.221;1.621;2.079;2.595;3.169;3.801;4.491;5.24;6.046;6.911;7.834;8.816;9.856
0.08;0.196;0.369;0.601;0.891;1.239;1.647;2.113;2.639;3.224;3.868;4.572;5.335;6.157;7.039;7.98;8.982;10.042
0.041;0.123;0.233;0.38;0.54;0.744;0.965;1.001;1.311;1.61;1.928;2.453;2.789;3.225;3.758;4.098;4.587;5.012
0.078;0.209;0.412;0.685;1.034;1.456;1.954;2.53;3.185;3.915;4.722;5.6;6.557;7.589;8.693;9.869;11.122;12.452
0.073;0.191;0.37;0.611;0.914;1.281;1.713;2.211;2.773;3.403;4.097;4.854;5.675;6.56;7.506;8.516;9.588;10.72
0.076;0.192;0.379;0.645;0.967;1.327;1.804;2.382;2.909;3.673;4.342;5.124;6.013;6.809;7.812;8.922;9.938;11.006
